day,dau,session_duration,conversion_rate,error_rate,api_latency_ms,crash_rate,support_tickets,feature_adoption,page_load_time_ms,checkout_abandonment,refund_requests,release_flag
1,10120,5.8,0.046,0.012,180,0.0018,42,0.02,2.1,0.31,6,0
2,10080,5.7,0.047,0.011,178,0.0017,44,0.02,2.0,0.30,7,0
3,10150,5.8,0.046,0.012,182,0.0019,41,0.03,2.1,0.31,6,0
4,10090,5.7,0.045,0.013,185,0.0020,45,0.03,2.2,0.32,8,0
5,10130,5.8,0.046,0.012,179,0.0018,43,0.03,2.1,0.31,7,0
6,10070,5.7,0.045,0.011,176,0.0017,44,0.02,2.0,0.30,6,0
7,10110,5.8,0.046,0.012,181,0.0018,42,0.03,2.1,0.31,7,0
8,10095,5.7,0.045,0.012,183,0.0019,46,0.03,2.2,0.32,8,0
9,10140,5.8,0.047,0.011,178,0.0017,43,0.04,2.0,0.30,6,0
10,10085,5.7,0.046,0.012,180,0.0018,44,0.04,2.1,0.31,7,0
11,10100,5.8,0.046,0.012,182,0.0019,42,0.04,2.1,0.31,6,0
12,10120,5.8,0.047,0.011,179,0.0017,43,0.05,2.0,0.30,6,0
13,10090,5.7,0.045,0.012,181,0.0018,45,0.05,2.1,0.31,7,0
14,10130,5.8,0.046,0.012,183,0.0019,44,0.05,2.2,0.32,8,0
15,10110,5.8,0.047,0.011,178,0.0017,42,0.06,2.0,0.30,6,0
16,10080,5.7,0.046,0.012,180,0.0018,43,0.06,2.1,0.31,7,0
17,10100,5.8,0.046,0.012,182,0.0019,44,0.06,2.1,0.31,6,0
18,10050,5.6,0.039,0.028,260,0.0065,78,0.42,3.6,0.44,21,1
19,10020,5.5,0.038,0.030,270,0.0070,85,0.55,3.8,0.46,24,1
20,10010,5.4,0.037,0.031,275,0.0074,88,0.61,4.0,0.47,26,1
21,10040,5.4,0.038,0.029,268,0.0071,82,0.66,3.9,0.45,23,1
22,10030,5.5,0.039,0.028,265,0.0068,80,0.70,3.7,0.44,22,1
23,10060,5.5,0.040,0.026,255,0.0062,74,0.73,3.5,0.42,19,1
24,10090,5.6,0.041,0.024,245,0.0056,68,0.76,3.3,0.40,17,1
25,10110,5.6,0.042,0.022,235,0.0050,62,0.78,3.1,0.38,15,1
